APPIC Number,Site / Department,URL,Location,Application Due Date,Program,Last Updated
1692, Aurora Mental Health and Recovery/Psychology Internship Program,https://membership.appic.org/directory/display/741,"Aurora, CO, USA",11/01/2025 11:59 PM EST,Internship,7/31/2025
1165, Children's Hospital Stanford/Children's Health Council/Division of Child and Adolescent Psychiatry,https://membership.appic.org/directory/display/183,"Stanford, CA, USA",11/03/2025 11:59 PM EST,Internship,7/25/2025
2095,Access Institute for Psychological Services/Psychology,https://membership.appic.org/directory/display/475,"San Francisco, CA, USA",11/17/2025 11:59 PM EST,Internship,12/9/2025
2566,Achieve Behavioral Health/Psychology,https://membership.appic.org/directory/display/2904,"Monsey, NY, USA",11/21/2025 11:59 PM EST,Internship,7/31/2025
1708,AHRC New York City/Family and Clinical Services,https://membership.appic.org/directory/display/158,"New York, NY, USA",11/15/2025 11:59 PM EST,Internship,7/24/2025
2629,Akron Children's Hospital/Division of Psychology- Department of Psychiatry and Behavioral Health ,https://membership.appic.org/directory/display/3095,"Akron, OH, USA",11/01/2025 11:59 PM EST,Internship,7/18/2025
1443,Albert Einstein College of Medicine/Montefiore Medical Center/Department of Psychiatry and Behavioral Sciences,https://membership.appic.org/directory/display/738,"Bronx, NY, USA",11/03/2025 11:59 PM EST,Internship,10/30/2025
1792,Allina Health Psychology Internship Program/Allina Health Mental Health and Addiction Services,https://membership.appic.org/directory/display/1549,"Fridley, MN, USA",11/07/2025 11:59 PM EST,Internship,7/30/2025
1498,Andrus /Psychology Department,https://membership.appic.org/directory/display/22,"Yonkers, NY, USA",11/15/2026 11:59 PM EST,Internship,1/14/2026
1257,Ann & Robert H. Lurie Children's Hospital of Chicago (formerly Children's Memorial Hospital)/Department of Child and Adolescent Psychiatry #10,https://membership.appic.org/directory/display/297,"Chicago, IL, USA",11/01/2025 11:59 PM EST,Internship,7/31/2025
1506,"Applewood Centers, Inc./Psychology",https://membership.appic.org/directory/display/847,"Cleveland, OH, USA",11/07/2025 11:59 PM EST,Internship,10/30/2025
2136,Asian Americans for Community Involvement (AACI)/Behavioral Health ,https://membership.appic.org/directory/display/624,"San Jose, CA, USA",11/04/2025 11:59 PM EST,Internship,10/3/2025
1336,"Aspire Health Alliance (formerly South Shore Mental Health Center, Inc.)/Doctoral Internship Program",https://membership.appic.org/directory/display/544,"Braintree, MA, USA",11/05/2024 11:59 PM EST,Internship,12/3/2024
1488,Astor Services/Clinical,https://membership.appic.org/directory/display/270,"Rhinebeck, NY, USA",11/07/2025 11:59 PM EST,Internship,7/31/2025
